name,address,description
"Kowalski's Markets","1261 Grand Ave","Full-service upscale grocer with butcher, bakery, deli, and Starbucks"
"Trader Joe's","484 Lexington Pkwy S","Specialty grocer with strong organic and prepared foods selection"
"Oxendale's Market","1326 Randolph Ave","Independent neighborhood grocer with excellent meat counter"
"Mississippi Market Co-op","622 Selby Ave","Natural foods co-op on Selby Ave"
"Whole Foods Market","1575 Selby Ave","Premium natural foods grocer near Snelling Ave"
"ALDI",1134 University Ave W","Budget discount grocer on the Green Line"
"Target",1300 University Ave W","Large-format Target with full grocery section on the Green Line"
"Shuang Hur Supermarket","654 University Ave W","Large pan-Asian grocery with exceptional seafood and produce"
"Sun Foods",544 University Ave W","Asian supermarket with wide variety of products"
"Phil Oriental Imports","789 University Ave W","Filipino grocery and deli with weekend buffet"
"Choua's Market","995 University Ave W","Small Hmong grocery with dry goods, snacks, and frozen items"
"Mi Linda Tierra","461 University Ave W","Peruvian and Latin specialty grocery with imported ingredients"
"Ashama Grocery & Meat","804 University Ave W","East African grocery and butcher with deli counter"
"Addis Market","515 Snelling Ave N","Ethiopian grocery specializing in spices, injera, teff, and coffee"
"St Paul Grocery & Halal Market","470 Lexington Pkwy N","African and Halal grocery with lamb, injera, ghee, and spices"
"Golden Fig Fine Foods","794 Grand Ave, St Paul, MN 55105","Gourmet grocery store with artisan foods, baked goods, cookbooks & a locavore philosophy."
